2022-08-19 13:52:28 [nodeJS-login] info: POST / REGISTER 200 RESPONSE: true, msg: save success
2022-08-19 13:53:51 [nodeJS-login] info: POST / REGISTER 200 RESPONSE: false, msg: 존재하는 아이디 입니다.
2022-08-19 13:54:01 [nodeJS-login] info: POST / REGISTER 200 RESPONSE: false, msg: 존재하는 아이디 입니다.
2022-08-19 13:55:22 [nodeJS-login] info: POST / REGISTER 200 RESPONSE: true, msg: save success
2022-08-19 13:55:38 [nodeJS-login] info: POST / REGISTER 200 RESPONSE: false, msg: 존재하는 아이디 입니다.
2022-08-19 15:05:34 [nodeJS-login] info: POST / LOGIN 200 RESPONSE: false, msg: undefined
2022-08-19 15:06:58 [nodeJS-login] info: POST / LOGIN 200 RESPONSE: false, msg: undefined
2022-08-19 15:08:38 [nodeJS-login] info: POST / LOGIN 200 RESPONSE: false, msg: undefined
2022-08-19 15:08:44 [nodeJS-login] info: POST / LOGIN 200 RESPONSE: false, msg: undefined
2022-08-19 15:09:32 [nodeJS-login] info: POST / LOGIN 200 RESPONSE: true, msg: login successful
2022-08-19 15:09:56 [nodeJS-login] info: POST / LOGIN 200 RESPONSE: true, msg: login successful
2022-08-19 15:10:07 [nodeJS-login] info: POST / LOGIN 200 RESPONSE: false, msg: Login failed : 틀린 password error
2022-08-19 15:10:11 [nodeJS-login] info: POST / LOGIN 200 RESPONSE: false, msg: Login failed : 존재하지 않는 id error
2022-08-19 15:10:23 [nodeJS-login] info: POST / LOGIN 200 RESPONSE: false, msg: Login failed : 존재하지 않는 id error
2022-08-19 15:10:28 [nodeJS-login] info: POST / LOGIN 200 RESPONSE: true, msg: login successful
2022-08-23 13:53:20 [nodeJS-login] info: POST / LOGIN 200 RESPONSE: false, msg: Login failed : 존재하지 않는 id error
2022-08-23 13:53:24 [nodeJS-login] info: POST / LOGIN 200 RESPONSE: false, msg: Login failed : 존재하지 않는 id error
2022-08-23 14:05:44 [nodeJS-login] info: POST / REGISTER 200 RESPONSE: false, msg: 존재하는 아이디 입니다.
2022-08-23 14:05:51 [nodeJS-login] info: POST / REGISTER 200 RESPONSE: true, msg: save success
2022-08-23 14:05:55 [nodeJS-login] info: POST / LOGIN 200 RESPONSE: false, msg: Login failed : 존재하지 않는 id error
2022-08-23 14:06:08 [nodeJS-login] info: POST / LOGIN 200 RESPONSE: false, msg: Login failed : 존재하지 않는 id error
2022-08-23 14:06:28 [nodeJS-login] info: POST / REGISTER 200 RESPONSE: true, msg: save success
2022-08-23 14:06:39 [nodeJS-login] info: POST / LOGIN 200 RESPONSE: false, msg: Login failed : 존재하지 않는 id error
2022-08-23 14:07:20 [nodeJS-login] info: POST / LOGIN 200 RESPONSE: false, msg: Login failed : 존재하지 않는 id error
2022-08-23 14:08:59 [nodeJS-login] info: POST / LOGIN 200 RESPONSE: false, msg: Login failed : 존재하지 않는 id error
2022-08-23 14:09:26 [nodeJS-login] info: POST / LOGIN 200 RESPONSE: false, msg: Login failed : 존재하지 않는 id error
2022-08-23 14:09:45 [nodeJS-login] info: POST / LOGIN 200 RESPONSE: true, msg: login successful
